Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;2018-09-01;11,5;21,5
Abbadia S.Salvatore;2018-09-02;10,9;19,2
Abbadia S.Salvatore;2018-09-03;11;21
Abbadia S.Salvatore;2018-09-04;12,9;22,8
Abbadia S.Salvatore;2018-09-05;12,2;23,6
Abbadia S.Salvatore;2018-09-06;13,7;24,8
Abbadia S.Salvatore;2018-09-07;14,7;22,6
Abbadia S.Salvatore;2018-09-08;15,2;22,5
Abbadia S.Salvatore;2018-09-09;15,4;24,6
Abbadia S.Salvatore;2018-09-10;16,7;26
Abbadia S.Salvatore;2018-09-11;17,8;27,1
Abbadia S.Salvatore;2018-09-12;18;26,8
Abbadia S.Salvatore;2018-09-13;16,6;21,1
Abbadia S.Salvatore;2018-09-14;15,4;23,9
Abbadia S.Salvatore;2018-09-15;14,6;26,2
Abbadia S.Salvatore;2018-09-16;16,5;25,4
Abbadia S.Salvatore;2018-09-17;15,5;24,4
Abbadia S.Salvatore;2018-09-18;15;21,6
Abbadia S.Salvatore;2018-09-19;14,9;23,7
Abbadia S.Salvatore;2018-09-20;15,1;22,8
Abbadia S.Salvatore;2018-09-21;14,6;26,4
Abbadia S.Salvatore;2018-09-22;14,2;25,1
Abbadia S.Salvatore;2018-09-23;13,8;24,1
Abbadia S.Salvatore;2018-09-24;11,6;24,3
Abbadia S.Salvatore;2018-09-25;7,9;15,3
Abbadia S.Salvatore;2018-09-26;6,8;13,8
Abbadia S.Salvatore;2018-09-27;10,4;19,9
Abbadia S.Salvatore;2018-09-28;12,1;22
Abbadia S.Salvatore;2018-09-29;13,3;22,2
Abbadia S.Salvatore;2018-09-30;11,5;20,6
Abbazia Trisulti;2018-09-01;14;22,8
Abbazia Trisulti;2018-09-02;13,1;22,2
Abbazia Trisulti;2018-09-03;12,6;21,5
Abbazia Trisulti;2018-09-04;13,3;23,4
Abbazia Trisulti;2018-09-05;13,5;24,5
Abbazia Trisulti;2018-09-06;15;26,4
Abbazia Trisulti;2018-09-07;14,4;25,3
Abbazia Trisulti;2018-09-08;14,2;25,9
Abbazia Trisulti;2018-09-09;16,4;25,9
Abbazia Trisulti;2018-09-10;16,6;26,9
Abbazia Trisulti;2018-09-11;16,7;27,6
Abbazia Trisulti;2018-09-12;17,7;27,6
Abbazia Trisulti;2018-09-13;16,6;24,1
Abbazia Trisulti;2018-09-14;15,9;25,7
Abbazia Trisulti;2018-09-15;15,8;26,2
Abbazia Trisulti;2018-09-16;15,7;26,1
Abbazia Trisulti;2018-09-17;15,9;25,7
Abbazia Trisulti;2018-09-18;15,8;26
Abbazia Trisulti;2018-09-19;16,3;22,8
Abbazia Trisulti;2018-09-20;15,6;23,8
Abbazia Trisulti;2018-09-21;15,3;24
Abbazia Trisulti;2018-09-22;16,3;26,1
Abbazia Trisulti;2018-09-23;16,1;25,8
Abbazia Trisulti;2018-09-24;13,8;25,9
Abbazia Trisulti;2018-09-25;10,2;16,7
Abbazia Trisulti;2018-09-26;8,2;15,3
Abbazia Trisulti;2018-09-27;9;20,6
Abbazia Trisulti;2018-09-28;12,6;22,1
Abbazia Trisulti;2018-09-29;11,5;23,7
Abbazia Trisulti;2018-09-30;10,9;20,1
Acquapendente;2018-09-01;15,2;26,1
Acquapendente;2018-09-02;12,8;23,9
Acquapendente;2018-09-03;12,3;29,8
Acquapendente;2018-09-04;14,3;28,5
Acquapendente;2018-09-05;11;32,6
Acquapendente;2018-09-06;12,2;31,5
Acquapendente;2018-09-07;17,2;28,8
Acquapendente;2018-09-08;14,1;32,3
Acquapendente;2018-09-09;13;34,8
Acquapendente;2018-09-10;13,9;36,6
Acquapendente;2018-09-11;12,4;37,9
Acquapendente;2018-09-12;11,7;38,5
Acquapendente;2018-09-13;15,5;26,4
Acquapendente;2018-09-14;14,4;34,5
Acquapendente;2018-09-15;14,6;34,2
Acquapendente;2018-09-16;15;30,3
Acquapendente;2018-09-17;14,8;30
Acquapendente;2018-09-18;17,8;29,4
Acquapendente;2018-09-19;16,7;32,1
Acquapendente;2018-09-20;17,8;30,8
Acquapendente;2018-09-21;14,6;32,4
Acquapendente;2018-09-22;13,5;31,1
Acquapendente;2018-09-23;15,3;28,2
Acquapendente;2018-09-24;16,4;33,2
Acquapendente;2018-09-25;13,1;23,9
Acquapendente;2018-09-26;10,9;22,2
Acquapendente;2018-09-27;3,7;29,5
Acquapendente;2018-09-28;7,2;33,3
Acquapendente;2018-09-29;7,3;32,4
Acquapendente;2018-09-30;11,1;32,4
Allumiere;2018-09-01;16,8;22,9
Allumiere;2018-09-02;15,3;22,9
Allumiere;2018-09-03;14,6;22,9
Allumiere;2018-09-04;17;24,9
Allumiere;2018-09-05;15,1;26,1
Allumiere;2018-09-06;16,7;27,4
Allumiere;2018-09-07;15,6;25,8
Allumiere;2018-09-08;16,1;26,3
Allumiere;2018-09-09;18,3;26,9
Allumiere;2018-09-10;19;28,4
Allumiere;2018-09-11;18,4;29,9
Allumiere;2018-09-12;20,9;30,9
Allumiere;2018-09-13;17,7;24,8
Allumiere;2018-09-14;15,8;26,7
Allumiere;2018-09-15;17,8;27,1
Allumiere;2018-09-16;17,7;26,5
Allumiere;2018-09-17;17,7;27
Allumiere;2018-09-18;17,1;26,8
Allumiere;2018-09-19;16,9;24,9
Allumiere;2018-09-20;17,7;23,6
Allumiere;2018-09-21;17,9;26,3
Allumiere;2018-09-22;17,1;26,2
Allumiere;2018-09-23;17,8;25,1
Allumiere;2018-09-24;15,9;27,8
Allumiere;2018-09-25;10,9;20,5
Allumiere;2018-09-26;9,8;19,7
Allumiere;2018-09-27;10;24
Allumiere;2018-09-28;13,7;25,9
Allumiere;2018-09-29;13,8;27,1
Allumiere;2018-09-30;14,6;24,5
Amatrice;2018-09-01;10,9;24,3
Amatrice;2018-09-02;8,4;25,1
Amatrice;2018-09-03;7,9;24,9
Amatrice;2018-09-04;9,5;23,8
Amatrice;2018-09-05;8,6;26,1
Amatrice;2018-09-06;8,1;28
Amatrice;2018-09-07;11,6;27
Amatrice;2018-09-08;9,6;24,7
Amatrice;2018-09-09;10;26,6
Amatrice;2018-09-10;9,7;26,6
Amatrice;2018-09-11;6,8;27,8
Amatrice;2018-09-12;7;29,2
Amatrice;2018-09-13;10,1;26,5
Amatrice;2018-09-14;10,9;26,2
Amatrice;2018-09-15;10,3;26,5
Amatrice;2018-09-16;10;28
Amatrice;2018-09-17;10,8;26
Amatrice;2018-09-18;10,7;25,6
Amatrice;2018-09-19;11,2;23,5
Amatrice;2018-09-20;13,8;22
Amatrice;2018-09-21;11,5;24,7
Amatrice;2018-09-22;9,8;27
Amatrice;2018-09-23;9,3;26,9
Amatrice;2018-09-24;9,4;25,2
Amatrice;2018-09-25;3,2;16,9
Amatrice;2018-09-26;-0,1;14,9
Amatrice;2018-09-27;-2,2;20,7
Amatrice;2018-09-28;0,1;23,2
Amatrice;2018-09-29;2,4;21,5
Amatrice;2018-09-30;2,2;21
Anzio;2018-09-01;19,6;26,2
Anzio;2018-09-02;19,9;25,4
Anzio;2018-09-03;18,5;25,6
Anzio;2018-09-04;20,1;26,8
Anzio;2018-09-05;20,2;26,7
Anzio;2018-09-06;19,1;26,1
Anzio;2018-09-07;17,6;26,2
Anzio;2018-09-08;20;26,6
Anzio;2018-09-09;20,5;27,2
Anzio;2018-09-10;20,5;27,1
Anzio;2018-09-11;20,5;27,4
Anzio;2018-09-12;20,7;27,8
Anzio;2018-09-13;21,9;26,1
Anzio;2018-09-14;20,9;26,1
Anzio;2018-09-15;21;26,8
Anzio;2018-09-16;20,2;26
Anzio;2018-09-17;20,1;26,4
Anzio;2018-09-18;21,1;26,3
Anzio;2018-09-19;20,4;24
Anzio;2018-09-20;19,1;25,7
Anzio;2018-09-21;20,4;25,3
Anzio;2018-09-22;20,3;26,5
Anzio;2018-09-23;21,5;26
Anzio;2018-09-24;21,2;27
Anzio;2018-09-25;17,4;23,4
Anzio;2018-09-26;14;21,6
Anzio;2018-09-27;14;22,8
Anzio;2018-09-28;16,2;23,4
Anzio;2018-09-29;16,1;24,3
Anzio;2018-09-30;16,4;23,2
Aprilia;2018-09-01;19,3;26,9
Aprilia;2018-09-02;19,7;26,1
Aprilia;2018-09-03;18,4;26
Aprilia;2018-09-04;18,7;26,7
Aprilia;2018-09-05;19,6;29,1
Aprilia;2018-09-06;18,1;27,9
Aprilia;2018-09-07;18,9;26,9
Aprilia;2018-09-08;19,1;27,7
Aprilia;2018-09-09;20,2;29,9
Aprilia;2018-09-10;20,2;29,5
Aprilia;2018-09-11;20,6;29,6
Aprilia;2018-09-12;19,4;30,2
Aprilia;2018-09-13;20,8;27,1
Aprilia;2018-09-14;19,5;28,4
Aprilia;2018-09-15;20,6;27,4
Aprilia;2018-09-16;19,9;27,4
Aprilia;2018-09-17;20,1;27,7
Aprilia;2018-09-18;20,6;28
Aprilia;2018-09-19;20,8;25,3
Aprilia;2018-09-20;19,7;28,2
Aprilia;2018-09-21;20,2;27,3
Aprilia;2018-09-22;19,7;29,1
Aprilia;2018-09-23;19,4;27,8
Aprilia;2018-09-24;20,6;27,8
Aprilia;2018-09-25;16,8;25,9
Aprilia;2018-09-26;14,5;24,3
Aprilia;2018-09-27;13,3;25,6
Aprilia;2018-09-28;15,3;24,7
Aprilia;2018-09-29;14,4;26,2
Aprilia;2018-09-30;16,3;24,1
Ardea;2018-09-01;19,5;30,1
Ardea;2018-09-02;17,2;29,8
Ardea;2018-09-03;16,5;29,8
Ardea;2018-09-04;14,3;29,9
Ardea;2018-09-05;15,5;31,5
Ardea;2018-09-06;13,7;31,1
Ardea;2018-09-07;17,1;30,4
Ardea;2018-09-08;17;30,9
Ardea;2018-09-09;16,8;31,6
Ardea;2018-09-10;17,2;31,7
Ardea;2018-09-11;15,6;32,1
Ardea;2018-09-12;15,1;33,1
Ardea;2018-09-13;17,8;28,7
Ardea;2018-09-14;17,4;29,9
Ardea;2018-09-15;15,5;30,9
Ardea;2018-09-16;15,9;30,7
Ardea;2018-09-17;16,1;30,4
Ardea;2018-09-18;20,1;30,7
Ardea;2018-09-19;20,5;27,1
Ardea;2018-09-20;19;30,9
Ardea;2018-09-21;18,6;29,7
Ardea;2018-09-22;16,1;31,8
Ardea;2018-09-23;15,1;30,3
Ardea;2018-09-24;20,3;31,6
Ardea;2018-09-25;12,7;27,9
Ardea;2018-09-26;8,7;26,8
Ardea;2018-09-27;7,7;25,5
Ardea;2018-09-28;9,3;26,6
Ardea;2018-09-29;9,1;28,5
Ardea;2018-09-30;9,2;26,7
Arsoli;2018-09-01;14,4;25,3
Arsoli;2018-09-02;12,5;26,4
Arsoli;2018-09-03;12,5;26,8
Arsoli;2018-09-04;12,3;28,1
Arsoli;2018-09-05;12,3;30
Arsoli;2018-09-06;11,8;30,5
Arsoli;2018-09-07;13,9;28,4
Arsoli;2018-09-08;12,2;30,2
Arsoli;2018-09-09;14,6;31,1
Arsoli;2018-09-10;13,8;31,4
Arsoli;2018-09-11;13,1;31,5
Arsoli;2018-09-12;13,8;32,3
Arsoli;2018-09-13;14,5;23,9
Arsoli;2018-09-14;15;30,4
Arsoli;2018-09-15;13;30,6
Arsoli;2018-09-16;13,7;30,2
Arsoli;2018-09-17;14,4;29,7
Arsoli;2018-09-18;15,8;29,4
Arsoli;2018-09-19;16,3;25,9
Arsoli;2018-09-20;16,7;26
Arsoli;2018-09-21;15,4;27,6
Arsoli;2018-09-22;14,9;30,3
Arsoli;2018-09-23;13,7;30,2
Arsoli;2018-09-24;13,7;31,5
Arsoli;2018-09-25;12,3;25,5
Arsoli;2018-09-26;6,4;23,3
Arsoli;2018-09-27;1,2;28
Arsoli;2018-09-28;3;27,6
Arsoli;2018-09-29;5,9;29,4
Arsoli;2018-09-30;7,4;26,1
Baccano;2018-09-01;15,5;25,8
Baccano;2018-09-02;13,7;26,6
Baccano;2018-09-03;12,9;28,9
Baccano;2018-09-04;12,2;30,5
Baccano;2018-09-05;13;32,8
Baccano;2018-09-06;12,6;31,9
Baccano;2018-09-07;16,2;32,9
Baccano;2018-09-08;14,6;33,3
Baccano;2018-09-09;14,7;33,1
Baccano;2018-09-10;15,7;35,3
Baccano;2018-09-11;14,6;35,1
Baccano;2018-09-12;13;36
Baccano;2018-09-13;14,6;28,2
Baccano;2018-09-14;14,9;32,9
Baccano;2018-09-15;11,6;32,2
Baccano;2018-09-16;14,8;29,7
Baccano;2018-09-17;13,5;30,8
Baccano;2018-09-18;16,2;29,4
Baccano;2018-09-19;17,3;30,2
Baccano;2018-09-20;16,8;27,6
Baccano;2018-09-21;16,1;28,8
Baccano;2018-09-22;14,6;33,6
Baccano;2018-09-23;12,5;28,5
Baccano;2018-09-24;15,8;30
Baccano;2018-09-25;10,5;28,1
Baccano;2018-09-26;9,4;26,9
Baccano;2018-09-27;9;31,1
Baccano;2018-09-28;5,3;31,4
Baccano;2018-09-29;7,4;31,6
Baccano;2018-09-30;11,3;27,7
Bagnoregio;2018-09-01;15,6;23,9
Bagnoregio;2018-09-02;13,7;22,1
Bagnoregio;2018-09-03;14,1;24,7
Bagnoregio;2018-09-04;15,2;25,9
Bagnoregio;2018-09-05;15,2;28,1
Bagnoregio;2018-09-06;15,8;28,7
Bagnoregio;2018-09-07;16,5;25,8
Bagnoregio;2018-09-08;16,3;27,6
Bagnoregio;2018-09-09;17,9;28,5
Bagnoregio;2018-09-10;18,3;29,8
Bagnoregio;2018-09-11;18,4;30,6
Bagnoregio;2018-09-12;18,8;32
Bagnoregio;2018-09-13;19;24
Bagnoregio;2018-09-14;17,9;29,4
Bagnoregio;2018-09-15;15,9;28,7
Bagnoregio;2018-09-16;17,3;27,5
Bagnoregio;2018-09-17;16,9;26,7
Bagnoregio;2018-09-18;17,7;27,3
Bagnoregio;2018-09-19;17,2;26,7
Bagnoregio;2018-09-20;17,3;26,2
Bagnoregio;2018-09-21;17,2;27,5
Bagnoregio;2018-09-22;17;27,6
Bagnoregio;2018-09-23;16,4;26,3
Bagnoregio;2018-09-24;13,9;27
Bagnoregio;2018-09-25;11,2;21,1
Bagnoregio;2018-09-26;8,5;19,2
Bagnoregio;2018-09-27;8,4;25,2
Bagnoregio;2018-09-28;13,8;27,3
Bagnoregio;2018-09-29;13,1;27,9
Bagnoregio;2018-09-30;12,4;26
Barbarano;2018-09-01;17,7;24,4
Barbarano;2018-09-02;15,6;24,4
Barbarano;2018-09-03;15,3;24,8
Barbarano;2018-09-04;16,4;26,4
Barbarano;2018-09-05;15,5;28,3
Barbarano;2018-09-06;16;28,4
Barbarano;2018-09-07;17;27,6
Barbarano;2018-09-08;16,2;27,1
Barbarano;2018-09-09;17,4;28,2
Barbarano;2018-09-10;17,9;29,1
Barbarano;2018-09-11;16,4;30,5
Barbarano;2018-09-12;17;30,3
Barbarano;2018-09-13;18,3;25,2
Barbarano;2018-09-14;17,8;27,6
Barbarano;2018-09-15;16,8;27,2
Barbarano;2018-09-16;17,6;27,4
Barbarano;2018-09-17;16,9;27,6
Barbarano;2018-09-18;17,6;27,9
Barbarano;2018-09-19;18,8;25,1
Barbarano;2018-09-20;18,7;25,9
Barbarano;2018-09-21;17,9;27,3
Barbarano;2018-09-22;16,9;27,2
Barbarano;2018-09-23;17,4;26,1
Barbarano;2018-09-24;17,7;29,2
Barbarano;2018-09-25;11,3;22
Barbarano;2018-09-26;9,6;21
Barbarano;2018-09-27;6,5;25,1
Barbarano;2018-09-28;10,9;26,1
Barbarano;2018-09-29;13;27,6
Barbarano;2018-09-30;10,7;25
Bolsena;2018-09-01;17,3;26
Bolsena;2018-09-02;15,2;26,3
Bolsena;2018-09-03;14,8;25,5
Bolsena;2018-09-04;16,4;26,8
Bolsena;2018-09-05;15,2;28,2
Bolsena;2018-09-06;15,4;28,4
Bolsena;2018-09-07;16,5;26,5
Bolsena;2018-09-08;16;27,5
Bolsena;2018-09-09;17,8;28,7
Bolsena;2018-09-10;17;29,7
Bolsena;2018-09-11;17,4;30,2
Bolsena;2018-09-12;16,5;31,4
Bolsena;2018-09-13;17,9;24,9
Bolsena;2018-09-14;17,7;29,4
Bolsena;2018-09-15;16,6;28,6
Bolsena;2018-09-16;17,4;29
Bolsena;2018-09-17;17,2;28,6
Bolsena;2018-09-18;19;27,9
Bolsena;2018-09-19;18,4;28,5
Bolsena;2018-09-20;19,5;25,8
Bolsena;2018-09-21;17,4;28,5
Bolsena;2018-09-22;-;-
Bolsena;2018-09-23;-;-
Bolsena;2018-09-24;-;-
Bolsena;2018-09-25;-;-
Bolsena;2018-09-26;-;-
Bolsena;2018-09-27;8,5;25,3
Bolsena;2018-09-28;14,1;27,1
Bolsena;2018-09-29;12,3;27,4
Bolsena;2018-09-30;13,7;25,5
Borgo Montello;2018-09-01;18,4;29,7
Borgo Montello;2018-09-02;16,8;29
Borgo Montello;2018-09-03;15,9;30,4
Borgo Montello;2018-09-04;14,3;30,1
Borgo Montello;2018-09-05;15,5;32,8
Borgo Montello;2018-09-06;14,8;32,3
Borgo Montello;2018-09-07;16,4;31,6
Borgo Montello;2018-09-08;16,3;31
Borgo Montello;2018-09-09;17,1;32,7
Borgo Montello;2018-09-10;17;32,8
Borgo Montello;2018-09-11;16,2;33,6
Borgo Montello;2018-09-12;15,5;33,4
Borgo Montello;2018-09-13;17,3;28,3
Borgo Montello;2018-09-14;18;31,8
Borgo Montello;2018-09-15;15;31,7
Borgo Montello;2018-09-16;16,3;32,1
Borgo Montello;2018-09-17;16,5;31,7
Borgo Montello;2018-09-18;19,7;31,3
Borgo Montello;2018-09-19;20;27,7
Borgo Montello;2018-09-20;18,9;32
Borgo Montello;2018-09-21;18,4;29,7
Borgo Montello;2018-09-22;16,6;31,9
Borgo Montello;2018-09-23;15,6;30,8
Borgo Montello;2018-09-24;17,6;32
Borgo Montello;2018-09-25;13,2;29,6
Borgo Montello;2018-09-26;8;25,5
Borgo Montello;2018-09-27;9;27,6
Borgo Montello;2018-09-28;9,8;27,9
Borgo Montello;2018-09-29;9,9;29,1
Borgo Montello;2018-09-30;10,6;26,9
Borgorose;2018-09-01;12;22
Borgorose;2018-09-02;10,2;22,2
Borgorose;2018-09-03;9,2;21,3
Borgorose;2018-09-04;9,8;21,7
Borgorose;2018-09-05;10,7;24,6
Borgorose;2018-09-06;10,1;26
Borgorose;2018-09-07;13;24,3
Borgorose;2018-09-08;10,9;24,5
Borgorose;2018-09-09;10,5;25,2
Borgorose;2018-09-10;12,2;26,2
Borgorose;2018-09-11;10,1;28,3
Borgorose;2018-09-12;10,4;28,7
Borgorose;2018-09-13;12,3;22,6
Borgorose;2018-09-14;10,9;25,7
Borgorose;2018-09-15;11,5;26,3
Borgorose;2018-09-16;11,9;26,5
Borgorose;2018-09-17;12,8;26,3
Borgorose;2018-09-18;14,8;24,9
Borgorose;2018-09-19;12,7;24,2
Borgorose;2018-09-20;14,9;22,9
Borgorose;2018-09-21;13,7;24,3
Borgorose;2018-09-22;11,1;26
Borgorose;2018-09-23;10,8;25,8
Borgorose;2018-09-24;12,2;25,5
Borgorose;2018-09-25;4,9;17,4
Borgorose;2018-09-26;4,3;15,9
Borgorose;2018-09-27;1,5;21,5
Borgorose;2018-09-28;2,8;25,1
Borgorose;2018-09-29;4,2;22,9
Borgorose;2018-09-30;5,8;21
Bracciano;2018-09-01;18,1;25,2
Bracciano;2018-09-02;16,9;25,6
Bracciano;2018-09-03;17,2;26,7
Bracciano;2018-09-04;17,4;28
Bracciano;2018-09-05;18,1;30,9
Bracciano;2018-09-06;17,7;29,7
Bracciano;2018-09-07;18,5;28,2
Bracciano;2018-09-08;18,4;30
Bracciano;2018-09-09;19,7;31,1
Bracciano;2018-09-10;19,9;31,9
Bracciano;2018-09-11;18,7;32,6
Bracciano;2018-09-12;18,6;33,6
Bracciano;2018-09-13;20,1;26,7
Bracciano;2018-09-14;19,8;30,1
Bracciano;2018-09-15;18,5;28,3
Bracciano;2018-09-16;19,1;29,4
Bracciano;2018-09-17;18,6;29,6
Bracciano;2018-09-18;19,6;28,7
Bracciano;2018-09-19;20;25,8
Bracciano;2018-09-20;19,7;27,1
Bracciano;2018-09-21;19,1;28,8
Bracciano;2018-09-22;18,8;30,1
Bracciano;2018-09-23;19,2;27,9
Bracciano;2018-09-24;19,3;30,7
Bracciano;2018-09-25;14,3;25,2
Bracciano;2018-09-26;12,5;23,6
Bracciano;2018-09-27;12;27
Bracciano;2018-09-28;14,5;28,5
Bracciano;2018-09-29;14,3;28,9
Bracciano;2018-09-30;16,5;25,3
Brusciano;2018-09-01;10,7;18,9
Brusciano;2018-09-02;9,4;19,1
Brusciano;2018-09-03;9,7;19,2
Brusciano;2018-09-04;10;18,3
Brusciano;2018-09-05;9,7;21,1
Brusciano;2018-09-06;11,4;22,7
Brusciano;2018-09-07;12,1;21,3
Brusciano;2018-09-08;10,6;20,6
Brusciano;2018-09-09;11,4;21,6
Brusciano;2018-09-10;12,8;22,4
Brusciano;2018-09-11;11,6;24,2
Brusciano;2018-09-12;13,5;25,1
Brusciano;2018-09-13;13,3;20,4
Brusciano;2018-09-14;12,4;22,2
Brusciano;2018-09-15;12,6;22,9
Brusciano;2018-09-16;12,8;24,1
Brusciano;2018-09-17;12,9;22,6
Brusciano;2018-09-18;12,6;21,2
Brusciano;2018-09-19;12,4;21
Brusciano;2018-09-20;13;19,5
Brusciano;2018-09-21;12,2;20,7
Brusciano;2018-09-22;11,7;22,3
Brusciano;2018-09-23;12,4;21,9
Brusciano;2018-09-24;7,1;21,2
Brusciano;2018-09-25;4,1;11,6
Brusciano;2018-09-26;2,3;11,1
Brusciano;2018-09-27;5,6;15,1
Brusciano;2018-09-28;7,8;18,4
Brusciano;2018-09-29;9,7;18,8
Brusciano;2018-09-30;7,4;16,9
Campaegli;2018-09-01;9,9;15
Campaegli;2018-09-02;7,6;15,8
Campaegli;2018-09-03;7,9;16,4
Campaegli;2018-09-04;7,8;18,8
Campaegli;2018-09-05;9,9;19,3
Campaegli;2018-09-06;8,3;20,5
Campaegli;2018-09-07;9,7;17,7
Campaegli;2018-09-08;8;19
Campaegli;2018-09-09;9,8;20,2
Campaegli;2018-09-10;10,3;21,2
Campaegli;2018-09-11;8;21,3
Campaegli;2018-09-12;9,5;22,7
Campaegli;2018-09-13;11,4;19,4
Campaegli;2018-09-14;9,6;20,4
Campaegli;2018-09-15;10,1;20,8
Campaegli;2018-09-16;9,7;20,7
Campaegli;2018-09-17;9,9;20,2
Campaegli;2018-09-18;11,8;20,4
Campaegli;2018-09-19;12;19
Campaegli;2018-09-20;12,4;18,8
Campaegli;2018-09-21;11;19,2
Campaegli;2018-09-22;9,8;20,9
Campaegli;2018-09-23;9,7;19,8
Campaegli;2018-09-24;9,5;20,9
Campaegli;2018-09-25;4,7;12,2
Campaegli;2018-09-26;2,4;10,9
Campaegli;2018-09-27;8,8;14,8
Campaegli;2018-09-28;8;17,8
Campaegli;2018-09-29;4,2;18,6
Campaegli;2018-09-30;6;17,2
Campo di Carne;2018-09-01;18,2;27,7
Campo di Carne;2018-09-02;16,7;26,6
Campo di Carne;2018-09-03;16,4;29
Campo di Carne;2018-09-04;16;27,3
Campo di Carne;2018-09-05;16,4;29
Campo di Carne;2018-09-06;14,8;29,6
Campo di Carne;2018-09-07;16,9;29,3
Campo di Carne;2018-09-08;16,6;29,4
Campo di Carne;2018-09-09;17,6;30,7
Campo di Carne;2018-09-10;17,4;30,4
Campo di Carne;2018-09-11;16,2;30,3
Campo di Carne;2018-09-12;16,1;31
Campo di Carne;2018-09-13;18,5;27,9
Campo di Carne;2018-09-14;18,7;28,5
Campo di Carne;2018-09-15;17,7;28,4
Campo di Carne;2018-09-16;16,2;29
Campo di Carne;2018-09-17;16,5;28,7
Campo di Carne;2018-09-18;19,7;29,1
Campo di Carne;2018-09-19;20;26,6
Campo di Carne;2018-09-20;18,9;28,8
Campo di Carne;2018-09-21;18,6;27,5
Campo di Carne;2018-09-22;16,5;29,3
Campo di Carne;2018-09-23;15,7;28,9
Campo di Carne;2018-09-24;18;29,2
Campo di Carne;2018-09-25;13,7;26,4
Campo di Carne;2018-09-26;9;23,8
Campo di Carne;2018-09-27;8,5;24,9
Campo di Carne;2018-09-28;10,1;25
Campo di Carne;2018-09-29;9,3;26,5
Campo di Carne;2018-09-30;10,3;25,1
Campodimele;2018-09-01;16,7;23,6
Campodimele;2018-09-02;15,8;23,1
Campodimele;2018-09-03;15,4;22,1
Campodimele;2018-09-04;15,1;24,3
Campodimele;2018-09-05;16;25
Campodimele;2018-09-06;17,1;26,2
Campodimele;2018-09-07;17,2;23,8
Campodimele;2018-09-08;16,9;25,2
Campodimele;2018-09-09;17,7;26,6
Campodimele;2018-09-10;18,9;26,2
Campodimele;2018-09-11;18,4;29
Campodimele;2018-09-12;19,4;28
Campodimele;2018-09-13;18,7;24,6
Campodimele;2018-09-14;17,6;26,2
Campodimele;2018-09-15;17,4;27,2
Campodimele;2018-09-16;17,5;26,4
Campodimele;2018-09-17;17,9;25,6
Campodimele;2018-09-18;17,4;24,8
Campodimele;2018-09-19;17,3;21,8
Campodimele;2018-09-20;17;24,9
Campodimele;2018-09-21;17,5;22,8
Campodimele;2018-09-22;17,8;26,6
Campodimele;2018-09-23;17,6;26
Campodimele;2018-09-24;15,4;25,5
Campodimele;2018-09-25;10,4;18,7
Campodimele;2018-09-26;8,2;17,3
Campodimele;2018-09-27;10,6;21,8
Campodimele;2018-09-28;12,4;23,1
Campodimele;2018-09-29;14,3;24,5
Campodimele;2018-09-30;14,1;21,8
Campoli Appennino;2018-09-01;14,9;24,2
Campoli Appennino;2018-09-02;16;24,5
Campoli Appennino;2018-09-03;14,8;23,8
Campoli Appennino;2018-09-04;14,8;24,8
Campoli Appennino;2018-09-05;15,4;26,6
Campoli Appennino;2018-09-06;16,7;27,3
Campoli Appennino;2018-09-07;16,9;25,4
Campoli Appennino;2018-09-08;16;26,3
Campoli Appennino;2018-09-09;17,8;26,8
Campoli Appennino;2018-09-10;17,9;27,4
Campoli Appennino;2018-09-11;18,2;28,5
Campoli Appennino;2018-09-12;18,6;29,2
Campoli Appennino;2018-09-13;18,7;25,1
Campoli Appennino;2018-09-14;17,4;27
Campoli Appennino;2018-09-15;17,5;27,8
Campoli Appennino;2018-09-16;17,7;27,5
Campoli Appennino;2018-09-17;17,9;27,4
Campoli Appennino;2018-09-18;18,2;26,3
Campoli Appennino;2018-09-19;17,7;23,3
Campoli Appennino;2018-09-20;17,4;25,3
Campoli Appennino;2018-09-21;17,4;25,8
Campoli Appennino;2018-09-22;17,9;27,3
Campoli Appennino;2018-09-23;17,4;26,8
Campoli Appennino;2018-09-24;15,6;27,2
Campoli Appennino;2018-09-25;11,7;18,6
Campoli Appennino;2018-09-26;10,4;15,3
Campoli Appennino;2018-09-27;9,4;21,4
Campoli Appennino;2018-09-28;12,6;23,2
Campoli Appennino;2018-09-29;14,2;23,7
Campoli Appennino;2018-09-30;12,2;22,7
Canino rlazio;2018-09-01;18,3;27
Canino rlazio;2018-09-02;15,1;27
Canino rlazio;2018-09-03;15;27,9
Canino rlazio;2018-09-04;16,2;28,9
Canino rlazio;2018-09-05;15;31,7
Canino rlazio;2018-09-06;15,3;30,9
Canino rlazio;2018-09-07;17,4;29,1
Canino rlazio;2018-09-08;17,4;29,6
Canino rlazio;2018-09-09;16,9;31,4
Canino rlazio;2018-09-10;17,8;32,3
Canino rlazio;2018-09-11;16,7;33,4
Canino rlazio;2018-09-12;16,8;34
Canino rlazio;2018-09-13;18,1;27,1
Canino rlazio;2018-09-14;17,6;30,8
Canino rlazio;2018-09-15;16,6;30,4
Canino rlazio;2018-09-16;18,1;29,4
Canino rlazio;2018-09-17;16,8;29,1
Canino rlazio;2018-09-18;18,4;29,6
Canino rlazio;2018-09-19;18,8;28,4
